,subject,trial,null,pic_id,act_x,act_y,est_x,est_y,correct,dist,rt,day
0,1,1,1,20,754.0,738.0,769,622,1,117.0,6.94,1
1,1,2,1,40,1300.0,146.0,1410,291,1,185.0,2.52,1
2,1,3,1,21,1210.0,568.0,1346,174,0,415.0,3.63,1
3,1,4,1,45,1250.0,177.0,1195,622,0,449.0,3.48,1
4,1,5,1,47,547.0,116.0,1153,573,0,759.0,13.0,1
5,1,6,1,33,1260.0,156.0,1394,779,0,638.0,6.6,1
6,1,7,1,13,1280.0,717.0,659,729,0,622.0,8.35,1
7,1,8,1,15,1410.0,135.0,809,646,0,791.0,16.3,1
8,1,9,1,1,1270.0,248.0,510,209,0,763.0,3.2,1
9,1,10,1,11,965.0,901.0,951,179,0,722.0,2.5,1
10,1,11,1,41,726.0,765.0,1364,952,0,665.0,3.95,1
11,1,12,1,18,725.0,732.0,1208,174,0,738.0,3.57,1
12,1,13,1,46,1000.0,556.0,735,306,0,364.0,9.73,1
13,1,14,1,16,914.0,835.0,649,93,0,788.0,3.5,1
14,1,15,1,34,579.0,712.0,644,412,0,307.0,16.8,1
15,1,16,1,26,1360.0,955.0,1368,171,0,784.0,24.6,1
16,1,17,1,6,575.0,135.0,1233,412,0,714.0,5.32,1
17,1,18,1,22,565.0,677.0,1476,946,0,950.0,3.7,1
18,1,19,1,14,454.0,222.0,1414,168,0,962.0,2.85,1
19,1,20,1,32,986.0,154.0,786,414,0,328.0,7.82,1
20,1,21,1,31,676.0,318.0,1273,757,0,741.0,6.0,1
21,1,22,1,17,819.0,586.0,650,734,0,224.0,8.4,1
22,1,23,1,12,873.0,426.0,825,846,0,423.0,19.1,1
23,1,24,1,48,1260.0,933.0,1071,204,0,753.0,1.98,1
24,1,25,1,35,1260.0,933.0,528,183,0,1050.0,22.4,2
25,1,26,1,39,547.0,116.0,1271,403,0,779.0,5.48,2
26,1,27,1,7,873.0,426.0,1279,923,0,642.0,5.98,2
27,1,28,1,4,965.0,901.0,1404,362,0,695.0,2.98,2
28,1,29,1,2,914.0,835.0,1413,381,0,674.0,4.65,2
29,1,30,1,24,754.0,738.0,649,381,0,372.0,11.8,2
30,1,31,1,8,1280.0,717.0,806,697,0,476.0,6.0,2
31,1,32,1,5,575.0,135.0,1408,384,0,869.0,2.98,2
32,1,33,1,25,1210.0,568.0,1278,727,1,172.0,11.2,2
33,1,34,1,23,819.0,586.0,694,305,0,308.0,8.37,2
34,1,35,1,29,676.0,318.0,1447,739,0,878.0,8.45,2
35,1,36,1,43,726.0,765.0,1165,137,0,766.0,14.8,2
36,1,37,1,18,1360.0,955.0,1226,174,0,793.0,2.37,2
37,1,38,1,37,1000.0,556.0,748,366,0,315.0,7.67,2
38,1,39,1,42,1250.0,177.0,866,625,0,592.0,13.6,2
39,1,40,1,3,1410.0,135.0,1388,364,0,230.0,2.9,2
40,1,41,1,36,579.0,712.0,374,349,0,417.0,8.13,2
41,1,42,1,28,565.0,677.0,1272,796,0,717.0,14.0,2
42,1,43,1,27,986.0,154.0,1186,158,0,200.0,6.57,2
43,1,44,1,10,454.0,222.0,1188,947,0,1030.0,7.07,2
44,1,45,1,38,1260.0,156.0,658,371,0,637.0,7.48,2
45,1,46,1,30,725.0,732.0,815,398,0,346.0,10.5,2
46,1,47,1,9,1270.0,248.0,811,110,0,481.0,10.4,2
47,1,48,1,44,1300.0,146.0,667,403,0,679.0,16.8,2
